2025-12-28 16:44:45 | INFO | [a2dcb7af-0d21-42d3-8871-2ac218bd996e] | backend.llm.mock | [MOCK RESPONSE] Generating response for: analyst_agent
2025-12-28 16:44:48 | INFO | [a2dcb7af-0d21-42d3-8871-2ac218bd996e] | backend.llm.mock | [MockLLM] Identified agent via explicit identity: 'ProfilerAgent' -> 'profiler_agent'
2025-12-28 16:44:48 | INFO | [a2dcb7af-0d21-42d3-8871-2ac218bd996e] | backend.llm.mock | [MOCK RESPONSE] Generating response for: profiler_agent
2025-12-28 16:44:48 | INFO | [a2dcb7af-0d21-42d3-8871-2ac218bd996e] | backend.llm.mock | [MockLLM] No specific mock found for 'profiler_agent'. Returning generic fallback.
2025-12-28 16:44:48 | INFO | [a2dcb7af-0d21-42d3-8871-2ac218bd996e] | backend.agents.base | [ProfilerAgent] Updated state.step_profiler
2025-12-28 16:44:48 | INFO | [a2dcb7af-0d21-42d3-8871-2ac218bd996e] | backend.agents.base | [ProfilerAgent] Lifecycle Hook: post_process
2025-12-28 16:44:48 | INFO | [a2dcb7af-0d21-42d3-8871-2ac218bd996e] | backend.agents.base | [ProfilerAgent] Execution completed.
2025-12-28 16:44:48 | INFO | [a2dcb7af-0d21-42d3-8871-2ac218bd996e] | backend.core.runner | [PipelineRunner] Running step: PanelAgent (Step ID: step_panel)
2025-12-28 16:44:48 | DEBUG | [a2dcb7af-0d21-42d3-8871-2ac218bd996e] | backend.core.runner | [PipelineRunner] Configured PanelAgent with gemini/gemini-3-pro-preview (Provider: google)
2025-12-28 16:44:49 | DEBUG | [a2dcb7af-0d21-42d3-8871-2ac218bd996e] | backend.services.prompt_builder | [PromptBuilder] Constructed PROMPT for step_panel (Length: 7 parts)
2025-12-28 16:44:49 | INFO | [a2dcb7af-0d21-42d3-8871-2ac218bd996e] | backend.llm.provider | [MockProvider] Calling Mock Service (Simulating Async)... {'mock_identity': 'PanelAgent', 'repository': <backend.database.repository.TinyDBRepository object at 0x00000207851F3530>, 'output_key': 'step_panel'}
2025-12-28 16:44:49 | WARNING | [a2dcb7af-0d21-42d3-8871-2ac218bd996e] | backend.llm.mock | [MockLLM] Mock data file not found at C:\Users\risto\OneDrive\quorum\data\mock_responses.json. Using empty defaults.
2025-12-28 16:44:49 | INFO | [a2dcb7af-0d21-42d3-8871-2ac218bd996e] | backend.llm.mock | [MockLLM] Intercepted call. Prompt length: 2316
2025-12-28 16:44:49 | INFO | [a2dcb7af-0d21-42d3-8871-2ac218bd996e] | backend.llm.mock | [MockLLM] Identified agent via explicit identity: 'PanelAgent' -> 'panel_agent'
2025-12-28 16:44:49 | INFO | [a2dcb7af-0d21-42d3-8871-2ac218bd996e] | backend.llm.mock | [MOCK RESPONSE] Generating response for: panel_agent
2025-12-28 16:44:49 | INFO | [a2dcb7af-0d21-42d3-8871-2ac218bd996e] | backend.llm.mock | [MockLLM] No specific mock found for 'panel_agent'. Returning generic fallback.
2025-12-28 16:44:49 | INFO | [a2dcb7af-0d21-42d3-8871-2ac218bd996e] | backend.agents.panel | [PanelAgent] Successfully fanned out PanelAudit to 5 distinct state steps.
2025-12-28 16:44:49 | INFO | [a2dcb7af-0d21-42d3-8871-2ac218bd996e] | backend.core.runner | [PipelineRunner] Running step: ArchivistAgent (Step ID: step_archivist)
2025-12-28 16:44:49 | DEBUG | [a2dcb7af-0d21-42d3-8871-2ac218bd996e] | backend.core.runner | [PipelineRunner] Configured ArchivistAgent with gemini/gemini-3-pro-preview (Provider: google)
2025-12-28 16:44:51 | DEBUG | [a2dcb7af-0d21-42d3-8871-2ac218bd996e] | backend.services.prompt_builder | [PromptBuilder] Constructed PROMPT for step_archivist (Length: 23 parts)
2025-12-28 16:44:51 | INFO | [a2dcb7af-0d21-42d3-8871-2ac218bd996e] | backend.agents.base | [ArchivistAgent] Starting execution...
2025-12-28 16:44:51 | INFO | [a2dcb7af-0d21-42d3-8871-2ac218bd996e] | backend.agents.base | [ArchivistAgent] Lifecycle Hook: prepare_context
2025-12-28 16:44:51 | INFO | [a2dcb7af-0d21-42d3-8871-2ac218bd996e] | backend.agents.base | [ArchivistAgent] >>> EXECUTION START <<<
2025-12-28 16:44:51 | INFO | [a2dcb7af-0d21-42d3-8871-2ac218bd996e] | backend.agents.base | [ArchivistAgent] MODEL: gemini/gemini-3-pro-preview | TEMP: 0.5 | TOKENS: 16384
2025-12-28 16:44:51 | INFO | [a2dcb7af-0d21-42d3-8871-2ac218bd996e] | backend.llm.provider | [MockProvider] Calling Mock Service (Simulating Async)... {'repository': <backend.database.repository.TinyDBRepository object at 0x00000207851F3530>, 'output_key': 'step_archivist', 'mock_identity': 'ArchivistAgent'}
2025-12-28 16:44:51 | WARNING | [a2dcb7af-0d21-42d3-8871-2ac218bd996e] | backend.llm.mock | [MockLLM] Mock data file not found at C:\Users\risto\OneDrive\quorum\data\mock_responses.json. Using empty defaults.
2025-12-28 16:44:51 | INFO | [a2dcb7af-0d21-42d3-8871-2ac218bd996e] | backend.llm.mock | [MockLLM] Intercepted call. Prompt length: 60
2025-12-28 16:44:51 | INFO | [a2dcb7af-0d21-42d3-8871-2ac218bd996e] | backend.llm.mock | [MockLLM] Identified agent via explicit identity: 'ArchivistAgent' -> 'archivist_agent'
2025-12-28 16:44:51 | INFO | [a2dcb7af-0d21-42d3-8871-2ac218bd996e] | backend.llm.mock | [MOCK RESPONSE] Generating response for: archivist_agent
2025-12-28 16:44:51 | INFO | [a2dcb7af-0d21-42d3-8871-2ac218bd996e] | backend.llm.mock | [MockLLM] No specific mock found for 'archivist_agent'. Returning generic fallback.
2025-12-28 16:44:51 | INFO | [a2dcb7af-0d21-42d3-8871-2ac218bd996e] | backend.agents.base | [ArchivistAgent] Updated state.step_archivist
2025-12-28 16:44:51 | INFO | [a2dcb7af-0d21-42d3-8871-2ac218bd996e] | backend.agents.base | [ArchivistAgent] Lifecycle Hook: post_process
2025-12-28 16:44:51 | INFO | [a2dcb7af-0d21-42d3-8871-2ac218bd996e] | backend.agents.base | [ArchivistAgent] Execution completed.
2025-12-28 16:44:51 | INFO | [a2dcb7af-0d21-42d3-8871-2ac218bd996e] | backend.core.runner | [PipelineRunner] Running step: JudgeAgent (Step ID: step_judge)
2025-12-28 16:44:51 | DEBUG | [a2dcb7af-0d21-42d3-8871-2ac218bd996e] | backend.core.runner | [PipelineRunner] Configured JudgeAgent with gemini/gemini-3-pro-preview (Provider: google)
2025-12-28 16:44:53 | DEBUG | [a2dcb7af-0d21-42d3-8871-2ac218bd996e] | backend.services.prompt_builder | [PromptBuilder] Constructed PROMPT for step_judge (Length: 24 parts)
2025-12-28 16:44:53 | INFO | [a2dcb7af-0d21-42d3-8871-2ac218bd996e] | backend.agents.base | [JudgeAgent] Starting execution...
2025-12-28 16:44:53 | INFO | [a2dcb7af-0d21-42d3-8871-2ac218bd996e] | backend.agents.base | [JudgeAgent] Lifecycle Hook: prepare_context
2025-12-28 16:44:53 | INFO | [a2dcb7af-0d21-42d3-8871-2ac218bd996e] | backend.agents.base | [JudgeAgent] >>> EXECUTION START <<<
2025-12-28 16:44:53 | INFO | [a2dcb7af-0d21-42d3-8871-2ac218bd996e] | backend.agents.base | [JudgeAgent] MODEL: gemini/gemini-3-pro-preview | TEMP: 0.5 | TOKENS: 16384
2025-12-28 16:44:53 | INFO | [a2dcb7af-0d21-42d3-8871-2ac218bd996e] | backend.llm.provider | [MockProvider] Calling Mock Service (Simulating Async)... {'repository': <backend.database.repository.TinyDBRepository object at 0x00000207851F3530>, 'output_key': 'step_judge', 'mock_identity': 'JudgeAgent'}
2025-12-28 16:44:53 | WARNING | [a2dcb7af-0d21-42d3-8871-2ac218bd996e] | backend.llm.mock | [MockLLM] Mock data file not found at C:\Users\risto\OneDrive\quorum\data\mock_responses.json. Using empty defaults.
2025-12-28 16:44:53 | INFO | [a2dcb7af-0d21-42d3-8871-2ac218bd996e] | backend.llm.mock | [MockLLM] Intercepted call. Prompt length: 60
2025-12-28 16:44:53 | INFO | [a2dcb7af-0d21-42d3-8871-2ac218bd996e] | backend.llm.mock | [MockLLM] Identified agent via explicit identity: 'JudgeAgent' -> 'judge_agent'
2025-12-28 16:44:53 | INFO | [a2dcb7af-0d21-42d3-8871-2ac218bd996e] | backend.llm.mock | [MOCK RESPONSE] Generating response for: judge_agent
2025-12-28 16:44:53 | INFO | [a2dcb7af-0d21-42d3-8871-2ac218bd996e] | backend.llm.mock | [MockLLM] No specific mock found for 'judge_agent'. Returning generic fallback.
2025-12-28 16:44:53 | INFO | [a2dcb7af-0d21-42d3-8871-2ac218bd996e] | backend.agents.base | [JudgeAgent] Updated state.step_judge
2025-12-28 16:44:53 | INFO | [a2dcb7af-0d21-42d3-8871-2ac218bd996e] | backend.agents.base | [JudgeAgent] Lifecycle Hook: post_process
2025-12-28 16:44:53 | INFO | [a2dcb7af-0d21-42d3-8871-2ac218bd996e] | backend.agents.judge | [JudgeAgent] Running calculate_final_scores...
2025-12-28 16:44:53 | INFO | [a2dcb7af-0d21-42d3-8871-2ac218bd996e] | backend.hooks.scoring | [ScoringHook] Total Score: 10/12 (Avg: 3.33)
2025-12-28 16:44:53 | INFO | [a2dcb7af-0d21-42d3-8871-2ac218bd996e] | backend.agents.base | [JudgeAgent] Execution completed.
2025-12-28 16:44:53 | INFO | [a2dcb7af-0d21-42d3-8871-2ac218bd996e] | backend.core.runner | [PipelineRunner] Running step: JudgeAgent (Step ID: step_judge_cognitive)
2025-12-28 16:44:53 | DEBUG | [a2dcb7af-0d21-42d3-8871-2ac218bd996e] | backend.core.runner | [PipelineRunner] Configured JudgeAgent with gemini/gemini-3-pro-preview (Provider: google)
2025-12-28 16:44:55 | DEBUG | [a2dcb7af-0d21-42d3-8871-2ac218bd996e] | backend.services.prompt_builder | [PromptBuilder] Constructed PROMPT for step_judge_cognitive (Length: 24 parts)
2025-12-28 16:44:55 | INFO | [a2dcb7af-0d21-42d3-8871-2ac218bd996e] | backend.agents.base | [JudgeAgent] Starting execution...
2025-12-28 16:44:55 | INFO | [a2dcb7af-0d21-42d3-8871-2ac218bd996e] | backend.agents.base | [JudgeAgent] Lifecycle Hook: prepare_context
2025-12-28 16:44:55 | INFO | [a2dcb7af-0d21-42d3-8871-2ac218bd996e] | backend.agents.base | [JudgeAgent] >>> EXECUTION START <<<
2025-12-28 16:44:55 | INFO | [a2dcb7af-0d21-42d3-8871-2ac218bd996e] | backend.agents.base | [JudgeAgent] MODEL: gemini/gemini-3-pro-preview | TEMP: 0.5 | TOKENS: 16384
2025-12-28 16:44:55 | INFO | [a2dcb7af-0d21-42d3-8871-2ac218bd996e] | backend.llm.provider | [MockProvider] Calling Mock Service (Simulating Async)... {'repository': <backend.database.repository.TinyDBRepository object at 0x00000207851F3530>, 'output_key': 'step_judge_cognitive', 'mock_identity': 'JudgeAgent'}
2025-12-28 16:44:55 | WARNING | [a2dcb7af-0d21-42d3-8871-2ac218bd996e] | backend.llm.mock | [MockLLM] Mock data file not found at C:\Users\risto\OneDrive\quorum\data\mock_responses.json. Using empty defaults.
2025-12-28 16:44:55 | INFO | [a2dcb7af-0d21-42d3-8871-2ac218bd996e] | backend.llm.mock | [MockLLM] Intercepted call. Prompt length: 60
2025-12-28 16:44:55 | INFO | [a2dcb7af-0d21-42d3-8871-2ac218bd996e] | backend.llm.mock | [MockLLM] Identified agent via explicit identity: 'JudgeAgent' -> 'judge_agent'
2025-12-28 16:44:55 | INFO | [a2dcb7af-0d21-42d3-8871-2ac218bd996e] | backend.llm.mock | [MOCK RESPONSE] Generating response for: judge_agent
2025-12-28 16:44:55 | INFO | [a2dcb7af-0d21-42d3-8871-2ac218bd996e] | backend.llm.mock | [MockLLM] No specific mock found for 'judge_agent'. Returning generic fallback.
2025-12-28 16:44:55 | INFO | [a2dcb7af-0d21-42d3-8871-2ac218bd996e] | backend.agents.base | [JudgeAgent] Updated state.step_judge_cognitive
2025-12-28 16:44:55 | INFO | [a2dcb7af-0d21-42d3-8871-2ac218bd996e] | backend.agents.base | [JudgeAgent] Lifecycle Hook: post_process
2025-12-28 16:44:55 | INFO | [a2dcb7af-0d21-42d3-8871-2ac218bd996e] | backend.agents.judge | [JudgeAgent] Running calculate_final_scores...
2025-12-28 16:44:55 | INFO | [a2dcb7af-0d21-42d3-8871-2ac218bd996e] | backend.hooks.scoring | [ScoringHook] Total Score: 20/24 (Avg: 3.33)
2025-12-28 16:44:55 | INFO | [a2dcb7af-0d21-42d3-8871-2ac218bd996e] | backend.agents.base | [JudgeAgent] Execution completed.
2025-12-28 16:44:55 | INFO | [a2dcb7af-0d21-42d3-8871-2ac218bd996e] | backend.core.runner | [PipelineRunner] Running step: CoachAgent (Step ID: step_coach)
2025-12-28 16:44:55 | DEBUG | [a2dcb7af-0d21-42d3-8871-2ac218bd996e] | backend.core.runner | [PipelineRunner] Configured CoachAgent with gemini/gemini-3-pro-preview (Provider: google)
2025-12-28 16:44:57 | DEBUG | [a2dcb7af-0d21-42d3-8871-2ac218bd996e] | backend.services.prompt_builder | [PromptBuilder] Constructed PROMPT for step_coach (Length: 24 parts)
2025-12-28 16:44:57 | INFO | [a2dcb7af-0d21-42d3-8871-2ac218bd996e] | backend.agents.base | [CoachAgent] Starting execution...
2025-12-28 16:44:57 | INFO | [a2dcb7af-0d21-42d3-8871-2ac218bd996e] | backend.agents.base | [CoachAgent] Lifecycle Hook: prepare_context
2025-12-28 16:44:57 | INFO | [a2dcb7af-0d21-42d3-8871-2ac218bd996e] | backend.agents.coach | [CoachAgent] Loaded 335 concepts and 196 references from Unified Database.
2025-12-28 16:44:57 | DEBUG | [a2dcb7af-0d21-42d3-8871-2ac218bd996e] | backend.agents.base | [CoachAgent] Appended dynamic context.
2025-12-28 16:44:57 | INFO | [a2dcb7af-0d21-42d3-8871-2ac218bd996e] | backend.agents.base | [CoachAgent] >>> EXECUTION START <<<
2025-12-28 16:44:57 | INFO | [a2dcb7af-0d21-42d3-8871-2ac218bd996e] | backend.agents.base | [CoachAgent] MODEL: gemini/gemini-3-pro-preview | TEMP: 0.5 | TOKENS: 16384
2025-12-28 16:44:57 | INFO | [a2dcb7af-0d21-42d3-8871-2ac218bd996e] | backend.llm.provider | [MockProvider] Calling Mock Service (Simulating Async)... {'repository': <backend.database.repository.TinyDBRepository object at 0x00000207851F3530>, 'output_key': 'step_coach', 'mock_identity': 'CoachAgent'}
2025-12-28 16:44:57 | WARNING | [a2dcb7af-0d21-42d3-8871-2ac218bd996e] | backend.llm.mock | [MockLLM] Mock data file not found at C:\Users\risto\OneDrive\quorum\data\mock_responses.json. Using empty defaults.
2025-12-28 16:44:57 | INFO | [a2dcb7af-0d21-42d3-8871-2ac218bd996e] | backend.llm.mock | [MockLLM] Intercepted call. Prompt length: 60
2025-12-28 16:44:57 | INFO | [a2dcb7af-0d21-42d3-8871-2ac218bd996e] | backend.llm.mock | [MockLLM] Identified agent via explicit identity: 'CoachAgent' -> 'coach_agent'
2025-12-28 16:44:57 | INFO | [a2dcb7af-0d21-42d3-8871-2ac218bd996e] | backend.llm.mock | [MOCK RESPONSE] Generating response for: coach_agent
2025-12-28 16:44:57 | INFO | [a2dcb7af-0d21-42d3-8871-2ac218bd996e] | backend.llm.mock | [MockLLM] No specific mock found for 'coach_agent'. Returning generic fallback.
2025-12-28 16:44:57 | INFO | [a2dcb7af-0d21-42d3-8871-2ac218bd996e] | backend.agents.base | [CoachAgent] Updated state.step_coach
2025-12-28 16:44:57 | INFO | [a2dcb7af-0d21-42d3-8871-2ac218bd996e] | backend.agents.base | [CoachAgent] Lifecycle Hook: post_process
2025-12-28 16:44:57 | INFO | [a2dcb7af-0d21-42d3-8871-2ac218bd996e] | backend.agents.coach | [CoachAgent] Running enrich_learning_plan hook...
2025-12-28 16:44:57 | INFO | [a2dcb7af-0d21-42d3-8871-2ac218bd996e] | backend.hooks.references | [ReferenceHook] Scan complete. Found 4 unique references.
2025-12-28 16:44:57 | INFO | [a2dcb7af-0d21-42d3-8871-2ac218bd996e] | backend.agents.coach | [CoachAgent] Populated bibliography with 4 references found in global state.
2025-12-28 16:44:57 | INFO | [a2dcb7af-0d21-42d3-8871-2ac218bd996e] | backend.agents.base | [CoachAgent] Execution completed.
2025-12-28 16:44:57 | INFO | [a2dcb7af-0d21-42d3-8871-2ac218bd996e] | backend.core.runner | [PipelineRunner] Running step: XAIReporterAgent (Step ID: step_xai)
2025-12-28 16:44:57 | DEBUG | [a2dcb7af-0d21-42d3-8871-2ac218bd996e] | backend.core.runner | [PipelineRunner] Configured XAIReporterAgent with gemini/gemini-3-flash-preview (Provider: google)
2025-12-28 16:44:59 | DEBUG | [a2dcb7af-0d21-42d3-8871-2ac218bd996e] | backend.services.prompt_builder | [PromptBuilder] Constructed PROMPT for step_xai (Length: 23 parts)
2025-12-28 16:44:59 | INFO | [a2dcb7af-0d21-42d3-8871-2ac218bd996e] | backend.agents.base | [XAIReporterAgent] Starting execution...
2025-12-28 16:44:59 | INFO | [a2dcb7af-0d21-42d3-8871-2ac218bd996e] | backend.agents.base | [XAIReporterAgent] Lifecycle Hook: prepare_context
2025-12-28 16:44:59 | INFO | [a2dcb7af-0d21-42d3-8871-2ac218bd996e] | backend.agents.base | [XAIReporterAgent] >>> EXECUTION START <<<
2025-12-28 16:44:59 | INFO | [a2dcb7af-0d21-42d3-8871-2ac218bd996e] | backend.agents.base | [XAIReporterAgent] MODEL: gemini/gemini-3-flash-preview | TEMP: 0.7 | TOKENS: 16384
2025-12-28 16:44:59 | INFO | [a2dcb7af-0d21-42d3-8871-2ac218bd996e] | backend.llm.provider | [MockProvider] Calling Mock Service (Simulating Async)... {'repository': <backend.database.repository.TinyDBRepository object at 0x00000207851F3530>, 'output_key': 'step_reporter', 'mock_identity': 'XAIReporterAgent'}
2025-12-28 16:44:59 | WARNING | [a2dcb7af-0d21-42d3-8871-2ac218bd996e] | backend.llm.mock | [MockLLM] Mock data file not found at C:\Users\risto\OneDrive\quorum\data\mock_responses.json. Using empty defaults.
2025-12-28 16:44:59 | INFO | [a2dcb7af-0d21-42d3-8871-2ac218bd996e] | backend.llm.mock | [MockLLM] Intercepted call. Prompt length: 60
2025-12-28 16:44:59 | INFO | [a2dcb7af-0d21-42d3-8871-2ac218bd996e] | backend.llm.mock | [MockLLM] Identified agent via explicit identity: 'XAIReporterAgent' -> 'xai_agent'
2025-12-28 16:44:59 | INFO | [a2dcb7af-0d21-42d3-8871-2ac218bd996e] | backend.llm.mock | [MOCK RESPONSE] Generating response for: xai_agent
2025-12-28 16:44:59 | INFO | [a2dcb7af-0d21-42d3-8871-2ac218bd996e] | backend.llm.mock | [MockLLM] No specific mock found for 'xai_agent'. Returning generic fallback.
2025-12-28 16:44:59 | INFO | [a2dcb7af-0d21-42d3-8871-2ac218bd996e] | backend.agents.base | [XAIReporterAgent] Updated state.step_reporter
2025-12-28 16:44:59 | INFO | [a2dcb7af-0d21-42d3-8871-2ac218bd996e] | backend.agents.base | [XAIReporterAgent] Lifecycle Hook: post_process
2025-12-28 16:44:59 | INFO | [a2dcb7af-0d21-42d3-8871-2ac218bd996e] | backend.agents.xai | [XAIReporterAgent] Running post_process hook...
2025-12-28 16:44:59 | INFO | [a2dcb7af-0d21-42d3-8871-2ac218bd996e] | backend.hooks.reporting | [ReportingHook] Generating report...
2025-12-28 16:44:59 | INFO | [a2dcb7af-0d21-42d3-8871-2ac218bd996e] | backend.hooks.reporting | [ReportingHook] Report generated and saved to step_reporter.xai_report_formatted
2025-12-28 16:44:59 | INFO | [a2dcb7af-0d21-42d3-8871-2ac218bd996e] | backend.agents.base | [XAIReporterAgent] Execution completed.
2025-12-28 16:44:59 | INFO | [a2dcb7af-0d21-42d3-8871-2ac218bd996e] | backend.core.engine | [WorkflowEngine] Execution a2dcb7af-0d21-42d3-8871-2ac218bd996e completed successfully.
2025-12-28 16:45:39 | DEBUG | [SYSTEM] | asyncio | Using proactor: IocpProactor
2025-12-28 16:45:43 | INFO | [SYSTEM] | root | Logging configured. Writing to: C:\Users\risto\OneDrive\quorum\backend_debug.log
2025-12-28 16:45:43 | INFO | [SYSTEM] | backend.bootstrap | ==================================================
2025-12-28 16:45:43 | INFO | [SYSTEM] | backend.bootstrap |    Cognitive Quorum Backend v0.2.0
2025-12-28 16:45:43 | INFO | [SYSTEM] | backend.bootstrap |    Startup Time: 2025-12-28 16:45:43
2025-12-28 16:45:43 | INFO | [SYSTEM] | backend.bootstrap | ==================================================
2025-12-28 16:45:43 | INFO | [SYSTEM] | backend.bootstrap |    [CONFIG] Database Path: C:\Users\risto\OneDrive\quorum\backend\database\db_mock.json
2025-12-28 16:45:43 | INFO | [SYSTEM] | backend.bootstrap |    [CONFIG] Model Strategy: Database Controlled
2025-12-28 16:45:43 | WARNING | [SYSTEM] | backend.bootstrap | !!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!
2025-12-28 16:45:43 | WARNING | [SYSTEM] | backend.bootstrap |    [INFO] OPERATING IN MOCK LLM MODE
2025-12-28 16:45:43 | WARNING | [SYSTEM] | backend.bootstrap |    [INFO] No external API calls will be made.
2025-12-28 16:45:43 | WARNING | [SYSTEM] | backend.bootstrap | !!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!
2025-12-28 16:45:43 | INFO | [SYSTEM] | backend.bootstrap |    [CONFIG] Google Search: ENABLED (Key: ...6-Yc)
2025-12-28 16:45:43 | INFO | [SYSTEM] | backend.bootstrap | ==================================================
2025-12-28 16:45:43 | INFO | [SYSTEM] | backend.bootstrap |    [INFO] Using Mock Models list.
2025-12-28 16:45:43 | INFO | [SYSTEM] | backend.bootstrap |    [INFO] Warming up Engine Singleton...
2025-12-28 16:45:43 | INFO | [SYSTEM] | backend.dependencies | [Dependencies] Initializing Singleton DB Client...
2025-12-28 16:45:43 | INFO | [SYSTEM] | backend.services.agent_registry | [AgentRegistry] Loading agents via AgentFactory...
